trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9900498337491681, 'e': 0.951229424500714}",20,0,-54.09012871952413,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.9801986733067553, 'e': 0.9048374180359596}",25,10,-89.68359685612636,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.9704455335485082, 'e': 0.8607079764250578}",25,0,-264.22957301272817,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 5}",0
4,False,"{'a': 0.9607894391523232, 'e': 0.8187307530779818}",20,7,-65.47045111446843,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.951229424500714, 'e': 0.7788007830714049}",25,0,-122.23618013114258,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.9417645335842487, 'e': 0.7408182206817179}",20,0,-33.19562454912747,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.9323938199059483, 'e': 0.7046880897187134}",30,20,-1.9769170312175932,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.9231163463866358, 'e': 0.6703200460356393}",20,0,-19.50403495492196,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.9139311852712282, 'e': 0.6376281516217733}",25,7,-13.793233313040378,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.9048374180359596, 'e': 0.6065306597126334}",25,0,-86.19519056720935,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.8958341352965282, 'e': 0.5769498103804866}",25,1,-40.6398587050903,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.8869204367171575, 'e': 0.5488116360940264}",25,0,-63.89720830738014,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.8780954309205613, 'e': 0.522045776761016}",20,0,-26.04162060109944,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.8693582353988059, 'e': 0.4965853037914095}",20,0,-62.74661855896951,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.8607079764250578, 'e': 0.47236655274101474}",25,0,-82.53192557847875,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.8521437889662113, 'e': 0.44932896411722156}",20,0,-4.614473355264254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.8436648165963837, 'e': 0.42741493194872665}",20,0,-11.100840705091198,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.835270211411272, 'e': 0.4065696597405991}",30,12,-52.05955396633589,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.8269591339433623, 'e': 0.3867410234545012}",20,10,-2.8237284246343215,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.8187307530779818, 'e': 0.36787944117144233}",20,0,-25.35837879395995,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.8105842459701871, 'e': 0.3499377491111553}",25,1,-60.86875034355641,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.8025187979624785, 'e': 0.33287108369807955}",30,4,4.445264872487165,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.794533602503334, 'e': 0.3166367693790532}",30,0,-111.35990242382775,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.7866278610665535, 'e': 0.3011942119122021}",25,2,3.8042804392556597,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.7788007830714049, 'e': 0.28650479686019015}",20,0,-5.803960667811411,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.7710515858035663, 'e': 0.2725317930340126}",25,0,0.15604057897496992,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.7633794943368531, 'e': 0.2592402606458915}",30,17,-44.29986583720392,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.7557837414557255, 'e': 0.24659696394160646}",30,12,24.325846485352336,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.7482635675785653, 'e': 0.23457028809379762}",25,0,15.538891353876394,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7408182206817179, 'e': 0.22313016014842985}",20,14,10.255430166023956,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7334469562242892, 'e': 0.21224797382674307}",20,0,18.55074998891891,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.7261490370736909, 'e': 0.2018965179946554}",25,10,7.169812831798321,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.7189237334319262, 'e': 0.1920499086207541}",35,20,3.2474581614214664,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
