trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",25,0,-123.99959824034765,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",30,15,-64.22339567059471,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-29.822599342463135,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-174.35356640673524,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",25,0,-73.53156681697602,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",30,0,-243.90964625856233,"{0: 12, 1: 7, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,0,-137.7148579855283,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",30,0,-177.7752073002718,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,0,-78.45074862132856,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",25,0,-80.39275891076618,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,0,-115.3650204224367,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-39.52267609662103,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,2,-72.14783376540174,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 0}",1
