trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-86.24787126863808,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",25,0,-111.38883876833191,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-169.0392508058787,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-45.245976403780986,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-47.184113869377875,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,7,-48.90153147604605,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",30,0,-190.39037496770126,"{0: 17, 1: 4, 2: 3, 3: 4, 4: 2}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",30,0,-108.59205733216555,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,18,-43.70197994066954,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",35,24,-9.304542012855746,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",30,0,-76.49933342964016,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",25,8,-33.900520247036404,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,0,-79.29781492313474,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-60.35012948677374,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,0,-134.42345418391483,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,0,-99.88422120778468,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,0,-129.3207702898616,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",25,0,-63.79458290693196,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",25,0,-162.10348356022294,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",35,0,-252.13561167130922,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-154.0376705813601,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-71.73088150170622,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,0,-120.5420247840641,"{0: 21, 1: 7, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-175.6260913075666,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-96.73442465357975,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-175.1681475964444,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-86.56901939491654,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-104.81953841788439,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,6,-40.03128229647458,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-98.87115101091536,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",25,0,-88.60740521874772,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",25,0,-120.3491068123185,"{0: 12, 1: 6, 2: 4, 3: 3, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,-24.495976726733524,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,13,-47.701095240518256,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,True,"{'a': 0, 'e': 0}",20,0,-53.809770437931576,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",25,0,-85.83419645776452,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",30,0,-166.88557965224265,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",25,0,-72.72155315599304,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",25,0,-189.96837680618432,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",35,0,-195.5297630262935,"{0: 21, 1: 6, 2: 3, 3: 2, 4: 3}",0
